Número de Equipo,Nombre de Equipo,Número de Match,Color de Alianza,¿Salió de COMMUNITY? (Durante autónomo),Piezas en Bottom Row (Durante autónomo),Piezas en Middle Row (Durante autónomo),Piezas en Top Row (Durante autónomo),Docking (Durante autónomo),Piezas en Bottom Row (Durante teleoperado),Piezas en Middle Row (Durante teleoperado),Piezas en Top Row (Durante teleoperado),¿El robot defendió?,¿Defendieron a este robot?,Docking (Endgame),¿Cometió Fouls?,¿Cometió fouls técnicos?,Links generados,Puntuación de la alianza,Ranking Points,¿Ganó su alianza?,"Comentarios del equipo
(Cada detalle importa así que extiéndete en tu respuesta lo más que puedas)",Piezas que coloca,Niveles que alcanza,Auto Community,Auto Docking,Docking Endgame,Puntos del equipo,Porcentaje para alianza
,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A
7546,MinerZ,1,Azul,No,1,0,0,No subió al dock,2,3,0,No,No,Park (Zona azul sin subir),No,No,1,58,2,Sí,"Velocidad promedio, aveces tiraban sus piezas","Conos, Cubos","Bottom Row, Middle Row",0,0,2,18,31.03%
6647,voltec,1,Roja,No,0,0,0,No subió al dock,1,2,0,No,No,Subió al dock CON engage,No,No,0,45,0,No,tiene que intentar poner mas cubos para llegar a tener links,Conos,"Bottom Row, Middle Row",0,0,10,18,40.00%
3933,Taman Keet,1,Azul,No,0,0,1,No subió al dock,0,0,2,No,No,Subió al dock SIN engage,No,No,2,58,2,Sí,"No se movio en autonomo, en teleoperado fue muy lento pero alcanza muy bien a subirlos conos hasta arriba.",Conos,Top Row,0,0,6,22,37.93%
3933,Prepa Tec - Taman Keet,1,Azul,No,0,0,1,No subió al dock,0,0,2,No,No,Subió al dock SIN engage,No,No,0,58,2,Sí,Se trabó un poco al inicio pero luego agarro la onda,"Conos, Cubos","Bottom Row, Middle Row, Top Row",0,0,6,22,37.93%
6170,Prepa Tecmilenio Vitronik,1,Roja,No,0,0,1,No subió al dock,2,0,0,No,No,No,No,No,0,45,0,No,"No saben dejar un conj para irse por otro, se quedan micho tiempo intentando agarrar un cono",Conos,"Bottom Row, Middle Row, Top Row",0,0,0,10,22.22%
4782,PrepaTec - Borrebots,1,Roja,No,0,0,0,Subió al dock SIN engage,1,1,0,No,No,Subió al dock CON engage,No,No,0,45,0,No,"En general estable, el autonomo trata de subirse al dock, utiliza pinza","Conos, Cubos","Bottom Row, Middle Row",0,8,10,23,51.11%
6608,ARCADIA,2,Azul,No,0,0,0,No subió al dock,1,0,0,No,No,No,No,No,0,18,0,No,"Fue demasiado lento, solo pudo poner un cono y al intentar poner el segundo se quedo parado por el resto de la ronda.",Conos,Bottom Row,0,0,0,2,11.11%
4584,Senri hawks,2,Azul,No,0,0,0,No subió al dock,0,1,2,No,No,Subió al dock CON engage,No,No,0,40,0,No,El coach se puso muy mandon y el Drive team nerviosos cuando se trababa el robot,Cubos,"Middle Row, Top Row",0,0,10,23,57.50%
6676,Thunder Hawks,2,Roja,Sí,0,0,0,No subió al dock,0,0,0,No,No,No,No,No,0,87,2,Sí,este robot solo sale en el autónomo y y luego no hace nada durante el match ( ganaron solo por faults),Cubos,Bottom Row,3,0,0,5,5.75%
3478,Lambot,2,Roja,No,0,0,0,No subió al dock,1,0,0,No,No,Subió al dock CON engage,No,No,0,87,2,Sí,"No tienen el autonomo terminado, no se pueden casi ni mover, aprovecho para farmear fouls no se si alcance top row",Conos,"Bottom Row, Middle Row",0,0,10,12,13.79%
3794,Prepa Tecmilenio WinT,2,Roja,No,0,0,0,No subió al dock,0,0,0,Sí,No,Park (Zona azul sin subir),No,No,0,87,2,Sí,"[Posible repeticion de la partida] No se movio casi, les fallo un motor. 70 puntos a favor por penalty pues encerraron a un robot azul dentro de la zona roja/community",Cubos,Bottom Row,0,0,2,2,2.30%
6106,TecGear,3,Azul,Sí,0,0,0,No subió al dock,0,1,0,No,No,No,No,No,0,38,2,Sí,Un poco torpe y se tarda mucho en agarrar piezas,"Conos, Cubos","Bottom Row, Middle Row",3,0,0,8,21.05%
6017,Cyberius,3,Azul,Sí,0,0,0,No subió al dock,3,0,0,No,No,Subió al dock CON engage,No,No,0,38,2,Sí,Se tarda mucho en agarrar y arrastrar las piezas,"Conos, Cubos",Bottom Row,3,0,10,21,55.26%
6106,TecGear,3,Azul,Sí,0,0,0,No subió al dock,0,1,0,No,No,No,No,No,0,18,6,Sí,"Fue lento, su pieza para agarrar cosas les dificulta el agarrar objetos.",Cubos,Middle Row,3,0,0,8,44.44%
6832,STEAMex,3,Roja,No,0,0,0,No subió al dock,1,0,0,No,No,Subió al dock CON engage,No,No,0,17,0,No,"No se movió en autónomo, se mueve un poco lento, se tambalea, se le es complicado tomar los cubos y conos, y se le cayó un cono.",Conos,Bottom Row,0,0,10,12,70.59%
5932,Prepa Tecmilenio - Quetzales,3,Roja,Sí,0,0,0,No subió al dock,1,0,0,No,No,Park (Zona azul sin subir),No,No,0,17,0,No,"Hizo e-stop a la mitad de la partida, robot solo arrastra las piezas en el lower level, velocidad media",Cubos,Bottom Row,3,0,2,9,52.94%
8741,Tecmilenio - Raccoons,4,Roja,No,0,0,0,No subió al dock,0,0,0,No,No,No,No,No,0,0,0,No,El robot no se presentó.,Conos,Bottom Row,0,0,0,0,#¡DIV/0!
9060,Desert Robotics,4,Azul,No,0,0,0,No subió al dock,0,0,0,Sí,Sí,No,No,No,0,7,0,No,"No puedieron agarrar nada, inseguridad de los drivers o algun problema con el robot",Cubos,"Bottom Row, Middle Row",0,0,0,0,0.00%
